"GeneSymbol","ModuleColor","ModuleLabel"
"C15orf52","brown",3
"ANTXR1","grey",0
"SLC30A4","grey",0
"SEPT9","grey",0
"VEGFB","grey",0
"LAMB2","grey",0
"BMP5","grey",0
"RHOC","grey",0
"FGFRL1","grey",0
"HIGD1B","grey",0
"FAM107A","brown",3
"ARHGAP19","grey",0
"CACNA1C-AS4","grey",0
"GUCD1","grey",0
"COLEC12","grey",0
"GFAP","grey",0
"SDHC","turquoise",1
"METTL7A","blue",2
"HCAR3","grey",0
"AIFM3","grey",0
"NME4","grey",0
"NDRG2","grey",0
"NFIA","yellow",4
"INPPL1","grey",0
"FCGRT","grey",0
"B2M","grey",0
"EDNRB","grey",0
"EMX2","grey",0
"PPIL4","turquoise",1
"BBOX1","grey",0
"ACOT11","grey",0
"BRAF","red",6
"OR5K3","grey",0
"PHGDH","brown",3
"PBX2","grey",0
"SYTL4","grey",0
"VSIG2","grey",0
"GSDMD","grey",0
"MAGED1","turquoise",1
"DCN","grey",0
"RPPH1","grey",0
"SLC9A3R1","green",5
"CTSH","grey",0
"PAXIP1-AS2","yellow",4
"RAMP1","grey",0
"SNORD108","turquoise",1
"TMED9","turquoise",1
"RPS15A","grey",0
"TNS3","grey",0
"PACSIN3","brown",3
"APOE","grey",0
"SORCS2","grey",0
"IGDCC4","grey",0
"ADGRG1","grey",0
"BRD4","grey",0
"SYNJ1","turquoise",1
"PLCG1","yellow",4
"RPL37A","grey",0
"FAM181B","brown",3
"HEBP2","grey",0
"GOLGA1","grey",0
"PARP10","grey",0
"CBS","grey",0
"KLHL35","turquoise",1
"PIP5K1B","grey",0
"KAT2B","brown",3
"ACAA2","blue",2
"HDAC1","brown",3
"HSD17B14","grey",0
"PLEC","grey",0
"RHOQ","grey",0
"MED8","turquoise",1
"TIMM50","grey",0
"PRKX","brown",3
"SNORD114-13","turquoise",1
"ACSS1","grey",0
"NINL","yellow",4
"RPLP1","grey",0
"NUPR1","grey",0
"PTTG1IP","grey",0
"ADAR","grey",0
"ELFN2","turquoise",1
"RPL39","grey",0
"FBLN7","turquoise",1
"GABRG1","grey",0
"MEF2A","turquoise",1
"UBAP1L","grey",0
"DNALI1","grey",0
"ASCL1","grey",0
"RPL30","grey",0
"RPL35A","grey",0
"SLC4A8","turquoise",1
"PRDX6","grey",0
"MAPK10","turquoise",1
"AEBP1","grey",0
"KCNMA1","turquoise",1
"MSRB3","grey",0
"ZC2HC1C","brown",3
"ID1","grey",0
"DBI","grey",0
"SLC6A12","brown",3
"MOB3C","green",5
"RDH5","grey",0
"PREB","grey",0
"ITGB5","grey",0
"IQCK","brown",3
"RGMA","grey",0
"AHNAK","grey",0
"CKLF","blue",2
"PTPN3","turquoise",1
"TRIM8","grey",0
"ATP2B2","red",6
"ATP1A1","turquoise",1
"PNKD","turquoise",1
"SELK","blue",2
"HBB","grey",0
"SREBF1","grey",0
"ITSN1","grey",0
"DNM3","turquoise",1
"TLCD1","grey",0
"PIANP","turquoise",1
"NWD1","grey",0
"DSE","grey",0
"TCAIM","grey",0
"ATP2A2","turquoise",1
"C11orf31","grey",0
"CARHSP1","brown",3
"HJURP","turquoise",1
"PLEKHH2","blue",2
"AKR1C3","grey",0
"RASL12","grey",0
"NSF","turquoise",1
"RTN3","turquoise",1
"ATP6V1B2","turquoise",1
"MDH1","turquoise",1
"YWHAG","turquoise",1
"DCLK1","turquoise",1
"MOAP1","turquoise",1
"FGF12","turquoise",1
"PAK1","turquoise",1
"PRKCB","turquoise",1
"CHL1","turquoise",1
"TOMM20","turquoise",1
"RGS4","turquoise",1
"NAP1L5","turquoise",1
"CISD1","turquoise",1
"NEFM","turquoise",1
"LMBRD2","turquoise",1
"SMYD2","turquoise",1
"SV2B","turquoise",1
"ATL1","turquoise",1
"GPRASP2","turquoise",1
"SVOP","turquoise",1
"DDN","turquoise",1
"ADAM23","turquoise",1
"UBE2V2","turquoise",1
"GABRG2","turquoise",1
"COPG2IT1","turquoise",1
"CCK","turquoise",1
"ELAVL4","turquoise",1
"ATP6V1A","turquoise",1
"ATP6V1E1","turquoise",1
"CAP2","turquoise",1
"GDAP1","turquoise",1
"UCHL1","turquoise",1
"NCALD","turquoise",1
"ZNF25","turquoise",1
"ATP1B1","turquoise",1
"BCL11A","turquoise",1
"ATP2B1","turquoise",1
"SNCA","turquoise",1
"REEP1","turquoise",1
"NRGN","turquoise",1
"LRRC8B","turquoise",1
"GABBR2","turquoise",1
"ATP6V1C1","turquoise",1
"UBQLN1","turquoise",1
"PSMG3","turquoise",1
"PCSK1","turquoise",1
"VSNL1","turquoise",1
"INA","turquoise",1
"PARM1","turquoise",1
"TSPAN13","turquoise",1
"HPRT1","turquoise",1
"KCNS2","turquoise",1
"GALNT11","turquoise",1
"GOT1","turquoise",1
"PGM2L1","turquoise",1
"SLC30A3","turquoise",1
"NAP1L2","turquoise",1
"RTN1","turquoise",1
"ITFG1","turquoise",1
"YWHAZ","turquoise",1
"SYT13","turquoise",1
"COPG2","turquoise",1
"KCNQ5","turquoise",1
"PDK3","turquoise",1
"MAP2","turquoise",1
"CFLAR","green",5
"KCNS1","turquoise",1
"KCNB1","turquoise",1
"PNMA2","turquoise",1
"CHGA","turquoise",1
"KLC1","turquoise",1
"R3HDM1","turquoise",1
"GRIA3","turquoise",1
"ARHGEF4","turquoise",1
"CNTNAP2","turquoise",1
"CSRNP3","turquoise",1
"NELL1","turquoise",1
"FAXC","turquoise",1
"DNM1L","turquoise",1
"NIPAL2","turquoise",1
"CTXN1","turquoise",1
"SLIT2","turquoise",1
"ENC1","turquoise",1
"GUCY1B3","turquoise",1
"NPTN","turquoise",1
"SERPINI1","turquoise",1
"KCNC2","turquoise",1
"MAP2K4","turquoise",1
"PDP1","turquoise",1
"CDKN2D","turquoise",1
"CCDC184","turquoise",1
"PHF24","turquoise",1
"FAM81A","turquoise",1
"ADRA1B","turquoise",1
"NEFL","turquoise",1
"NLK","turquoise",1
"MLLT11","turquoise",1
"PLPPR4","turquoise",1
"GRIN2A","turquoise",1
"IMP3","blue",2
"NELL2","turquoise",1
"MAPK9","turquoise",1
"GABRB3","turquoise",1
"ARL8B","turquoise",1
"GAD2","turquoise",1
"ARL6IP1","turquoise",1
"RAB27B","turquoise",1
"SNTG1","turquoise",1
"NCEH1","turquoise",1
"FBXO34","turquoise",1
"FAM49A","turquoise",1
"CBLN2","turquoise",1
