"GeneSymbol","ModuleColor","ModuleLabel","kME_own","SelectionReason"
"NSF","turquoise",1,0.928373591003149,"kME_hubs_only"
"RTN3","turquoise",1,0.946245606266575,"kME_hubs_only"
"ATP6V1B2","turquoise",1,0.924907288236007,"kME_hubs_only"
"MDH1","turquoise",1,0.914184854142614,"kME_hubs_only"
"YWHAG","turquoise",1,0.960145854709501,"kME_hubs_only"
"DCLK1","turquoise",1,0.900360765878003,"kME_hubs_only"
"MOAP1","turquoise",1,0.898169016961153,"kME_hubs_only"
"FGF12","turquoise",1,0.881236274603041,"kME_hubs_only"
"PAK1","turquoise",1,0.916521593795505,"kME_hubs_only"
"PRKCB","turquoise",1,0.922960060354799,"kME_hubs_only"
"CHL1","turquoise",1,0.944604013282589,"kME_hubs_only"
"TOMM20","turquoise",1,0.89783339282469,"kME_hubs_only"
"RGS4","turquoise",1,0.951530932677044,"kME_hubs_only"
"NAP1L5","turquoise",1,0.892193301782313,"kME_hubs_only"
"CISD1","turquoise",1,0.875986997010876,"kME_hubs_only"
"NEFM","turquoise",1,0.91779957288222,"kME_hubs_only"
"LMBRD2","turquoise",1,0.882845795258216,"kME_hubs_only"
"SMYD2","turquoise",1,0.915597964028769,"kME_hubs_only"
"ATL1","turquoise",1,0.938505103305271,"kME_hubs_only"
"GPRASP2","turquoise",1,0.866225401051317,"kME_hubs_only"
"SVOP","turquoise",1,0.867086955860919,"kME_hubs_only"
"ADAM23","turquoise",1,0.90466302828825,"kME_hubs_only"
"UBE2V2","turquoise",1,0.94247702519317,"kME_hubs_only"
"GABRG2","turquoise",1,0.87859127786432,"kME_hubs_only"
"COPG2IT1","turquoise",1,0.895519486594405,"kME_hubs_only"
"ATP6V1A","turquoise",1,0.898312307688621,"kME_hubs_only"
"ATP6V1E1","turquoise",1,0.928016182306793,"kME_hubs_only"
"CAP2","turquoise",1,0.907772650725259,"kME_hubs_only"
"UCHL1","turquoise",1,0.892354668482138,"kME_hubs_only"
"NCALD","turquoise",1,0.856548496271474,"kME_hubs_only"
"ZNF25","turquoise",1,0.874722567147124,"kME_hubs_only"
"ATP1B1","turquoise",1,0.894851368300636,"kME_hubs_only"
"BCL11A","turquoise",1,0.900123686705394,"kME_hubs_only"
"ATP2B1","turquoise",1,0.86259129566773,"kME_hubs_only"
"SNCA","turquoise",1,0.886927139158706,"kME_hubs_only"
"REEP1","turquoise",1,0.922312006154275,"kME_hubs_only"
"LRRC8B","turquoise",1,0.902673146321985,"kME_hubs_only"
"ATP6V1C1","turquoise",1,0.903184116939316,"kME_hubs_only"
"UBQLN1","turquoise",1,0.854554284116214,"kME_hubs_only"
"PSMG3","turquoise",1,0.896165802366114,"kME_hubs_only"
"PCSK1","turquoise",1,0.896352426742344,"kME_hubs_only"
"VSNL1","turquoise",1,0.883145030105399,"kME_hubs_only"
"PARM1","turquoise",1,0.919174241068365,"kME_hubs_only"
"TSPAN13","turquoise",1,0.914772976925947,"kME_hubs_only"
"KCNS2","turquoise",1,0.862886701671083,"kME_hubs_only"
"GALNT11","turquoise",1,0.889547351817311,"kME_hubs_only"
"GOT1","turquoise",1,0.917008916174899,"kME_hubs_only"
"PGM2L1","turquoise",1,0.949338703572057,"kME_hubs_only"
"NAP1L2","turquoise",1,0.866077251964951,"kME_hubs_only"
"RTN1","turquoise",1,0.852493389962059,"kME_hubs_only"
"ITFG1","turquoise",1,0.86815052956532,"kME_hubs_only"
"YWHAZ","turquoise",1,0.888772558067797,"kME_hubs_only"
"SYT13","turquoise",1,0.877354823661569,"kME_hubs_only"
"COPG2","turquoise",1,0.869311536535051,"kME_hubs_only"
"KCNQ5","turquoise",1,0.89560652475518,"kME_hubs_only"
"PDK3","turquoise",1,0.952599620291851,"kME_hubs_only"
"MAP2","turquoise",1,0.851977301097857,"kME_hubs_only"
"KCNB1","turquoise",1,0.861368212854258,"kME_hubs_only"
"PNMA2","turquoise",1,0.937004071257683,"kME_hubs_only"
"R3HDM1","turquoise",1,0.911616426125343,"kME_hubs_only"
"GRIA3","turquoise",1,0.891906783712192,"kME_hubs_only"
"CNTNAP2","turquoise",1,0.921588759049425,"kME_hubs_only"
"CSRNP3","turquoise",1,0.895323012230209,"kME_hubs_only"
"NELL1","turquoise",1,0.869799580582786,"kME_hubs_only"
"DNM1L","turquoise",1,0.853801921394779,"kME_hubs_only"
"NIPAL2","turquoise",1,0.875072321848423,"kME_hubs_only"
"ENC1","turquoise",1,0.936771324977179,"kME_hubs_only"
"NPTN","turquoise",1,0.885629959802364,"kME_hubs_only"
"SERPINI1","turquoise",1,0.947635555660596,"kME_hubs_only"
"KCNC2","turquoise",1,0.918387068911527,"kME_hubs_only"
"MAP2K4","turquoise",1,0.871398168831823,"kME_hubs_only"
"PDP1","turquoise",1,0.923302684956368,"kME_hubs_only"
"CDKN2D","turquoise",1,0.861762986503058,"kME_hubs_only"
"PHF24","turquoise",1,0.883038411795722,"kME_hubs_only"
"FAM81A","turquoise",1,0.906367505226064,"kME_hubs_only"
"NLK","turquoise",1,0.928690950618484,"kME_hubs_only"
"MLLT11","turquoise",1,0.867900637377675,"kME_hubs_only"
"PLPPR4","turquoise",1,0.890968857772314,"kME_hubs_only"
"IMP3","blue",2,0.916925316370255,"kME_hubs_only"
"NELL2","turquoise",1,0.905904428577656,"kME_hubs_only"
"ARL8B","turquoise",1,0.913801941748762,"kME_hubs_only"
"RAB27B","turquoise",1,0.923416719143807,"kME_hubs_only"
"SNTG1","turquoise",1,0.895032764565769,"kME_hubs_only"
"NCEH1","turquoise",1,0.885282057919125,"kME_hubs_only"
"FBXO34","turquoise",1,0.924032973372267,"kME_hubs_only"
"FAM49A","turquoise",1,0.928789240067972,"kME_hubs_only"
"TMEM130","turquoise",1,0.913922158000053,"kME_hubs_only"
"C1QL3","turquoise",1,0.860705048803091,"kME_hubs_only"
