"GeneSymbol","GSM3332691","GSM3332694","GSM3332699","GSM3332705","GSM3332708","GSM3332711","GSM3332714","GSM3332719","GSM3332722","GSM3332725","GSM3332727","GSM3332732","GSM3332738","GSM3332740","GSM3332744","GSM3332748","GSM3332757","GSM3332763","GSM3332767","GSM3332770","GSM3332774","GSM3332781","GSM3332782","GSM3332784","GSM3332786","GSM3332791","GSM3332798","GSM3332801","GSM3332806","GSM3332809","GSM3332813","GSM3332818","GSM3332823","GSM3332827","GSM3332833","GSM3332834","GSM3332837","GSM3332842","GSM3332845","GSM3332850","GSM3332857","GSM3332858","GSM3332860","GSM3332863","GSM3332864","GSM3332869","GSM3332874","GSM3332878","GSM3332881","GSM3332888","GSM3332890","GSM3332892","GSM3332897","GSM3332900","GSM3332904","GSM3332907","GSM3332912","GSM3332917","GSM3332921","GSM3332926","GSM3332929","GSM3332934","GSM3332939","GSM3332945","GSM3332948","GSM3332956","GSM3332962","GSM3332965","GSM3332969","GSM3332972","GSM3332980","GSM3332982","GSM3332986","GSM3332989","GSM3332995","GSM3333000","GSM3333006","GSM3333008","GSM3333015","GSM3333018","GSM3333024","GSM3333030","GSM3333033","GSM3333037","GSM3333041","GSM3333046","GSM3333049","GSM3333056","GSM3333058","GSM3333063","GSM3333071","GSM3333072","GSM3333076","GSM3333080","GSM3333084","GSM3333089"
"C15orf52",4.30574743004324,3.70228027912375,3.90461605763783,3.57801281173316,3.7336594597803,4.37065738965619,4.52881433857138,5.40446211959617,4.54112198615268,4.69214602351596,3.75712640655594,4.78792180677437,4.2170909329908,3.89153134587221,5.2337362597531,4.28935829914124,3.03299865121568,4.14328236957401,4.36828934536056,4.90608063468552,4.74258119583275,4.31947156569287,3.90243228208398,4.70071202326094,4.35694136249567,4.36959621033753,4.00939150362546,3.96373819343363,4.47339226416437,3.73741833956056,5.23420170945902,4.95702558841664,4.4889373036319,4.80538094578444,3.21664105833052,4.41435073831068,3.52285041202546,4.2466591534371,4.62206056517475,4.53096426070713,5.09771318708446,4.10325194782708,5.38241430127454,5.19908948783661,5.16983274133577,4.8058776573452,5.14062958238813,4.57953886413387,4.66289242764888,3.79788567909306,4.72360837088732,3.87851822346062,4.47986458744366,4.84284610525374,5.16933808569366,3.47476078244044,4.18463322467896,4.92408554861205,5.24398239178591,4.52013055687001,4.87710368993735,4.96529089119088,3.95508811593877,4.94620856723308,4.46483755917935,4.40084511652854,3.97315655065438,4.3356086963026,4.29261292354912,4.29446850869156,4.86692287911508,4.94284573551992,5.29355008071744,3.88386106150426,4.40095134077628,4.8023544591247,4.38191610111063,4.68345365892618,4.22831009533267,4.96263457886352,4.36144112893578,5.5194299310683,4.53865903414919,3.121171103581,4.03063703801816,4.3911677020193,4.73008728467567,5.17951344658183,4.6995277956504,4.96022274554308,4.81793911333306,4.33647069051194,3.58234063039694,4.52704156517545,4.69544007934707,2.65437550903761
"ANTXR1",4.8258720348953,4.67808641422913,4.79175377364111,4.70565339183446,4.93296025889324,4.80482948792503,4.9225126076565,5.43521044605522,4.6750518054719,4.88510518781357,4.72804811355564,5.28174680625122,4.82638332261009,4.49248717333401,5.12058753272877,4.99141979104696,4.60409107106928,4.6036834524012,4.53972164299211,5.25436781115254,5.44340024323012,5.01295413694294,4.71526303665992,5.11597394182667,5.11238512880387,5.08113833340515,4.71788680978519,4.75707995258749,4.96057432070622,4.5180754533267,5.09298114951901,5.17495258819458,4.90209852795165,4.84775208120417,4.97821153222444,4.70905325920593,5.06283277812798,4.73150262217726,4.85697722990268,5.14081428514512,5.31285887851417,4.79882951468417,5.20677894353797,5.54279446235139,5.13287923266868,5.04910226768482,5.18036297248253,5.09515475320722,5.3655166788603,4.73009318311822,4.80925153605679,4.74790118469912,4.99103254163153,4.95480583144175,5.0964543072426,4.83408356742355,4.99833262346055,4.72954723862244,4.86284745185328,5.14935344763166,5.03244765134306,5.27037978333028,5.0226580040659,5.220406210091,4.63300097876108,4.77743487667484,4.80313923473533,4.96310705876825,5.06213110614684,4.78767070522256,4.57092785658286,4.81972897044116,5.30716381106812,4.7096863028585,4.65141802029648,4.83116692356167,5.19736923776687,5.05765736153663,4.60910575395921,4.6353199710656,4.59050641793501,5.0002909178409,5.09634469291283,4.62953539119604,4.65029836257158,5.12787308352467,4.69823384110313,4.78633988214884,4.51397893657125,5.04632151346549,5.25141319770182,4.60138817305487,4.35124156877113,4.46083997262771,4.65519945075722,4.86630749857984
"SLC30A4",4.20343744816643,3.91111954822586,3.96641013468805,3.53145472648398,3.73918451126529,3.38240744581914,3.35095437525754,4.28894954766011,4.24661918759873,3.55635179235,3.77519453022464,3.51209234044611,4.0424796746882,4.22032743284071,3.03325633099812,3.86021002936625,3.8143211301411,4.42047389612715,3.22686713153662,3.65786721305816,2.8820284226468,3.65590721823058,3.63846533716741,3.50008469527858,3.59561956427986,3.75258489456268,3.55549153752061,3.4408121190299,3.88612438588472,3.27613178127577,3.35845757420847,3.09695487542395,3.60224722958845,3.40873777928437,4.08962484552282,3.42916301035399,3.25227413422096,3.38744440112179,3.87098086127614,2.8904970050286,3.45362057575481,3.43619384814784,3.25818668030448,3.04121646196641,3.50531428235881,3.87727303555482,3.65464009237724,3.52874648447771,3.67836338361153,4.07241454600026,3.4817096534248,3.26810279076044,3.84442071110198,3.63772044093419,3.37274958920159,3.9412053699961,3.91875494097881,3.46094888709824,3.36609349353002,3.38534692471246,3.2945570164436,3.4640034641749,3.98492526753228,3.33465342523952,3.53436866172115,3.0583109544635,3.55647586859397,3.88940947947301,3.51425597828102,3.41823932305503,3.70923240858223,3.55154211929061,3.35077670959766,3.14226216490186,3.80336187834515,3.0300488249316,3.47159506765451,3.1982671410573,3.94757885959435,3.30512459624237,3.65198621440021,3.4331033936799,3.63234584873762,3.84854815719157,3.26224012570345,3.58415682389711,3.73929533125996,3.51436630417255,3.84852081305057,3.60809915762689,3.28834298399349,3.81018702000132,3.88601543081325,4.73648217589457,4.34828687060263,3.971876112709
"SEPT9",6.49257772657707,6.45571094662592,6.12995515838904,6.20887901845391,6.171383375609,6.79337437753148,6.59528447562572,6.96388750028084,6.57413930741456,6.52107759653228,6.30009562263962,6.47817274604754,6.1635874038278,5.87640111302305,6.50663070173389,6.4273865405305,6.13928172291802,6.59206631519778,6.34009709192931,6.6015571991192,6.83840461287296,6.90859098215393,6.78522539335927,6.78660681714596,6.19716401735721,6.96929337381465,6.15424479168785,6.47389370574309,6.77781648088544,6.4269750267288,6.9264206712083,7.25946735460129,6.28868261994001,6.86713600633872,6.03199014899136,6.63316455022792,6.66788245191391,6.67717275504123,6.52835652064125,6.98508051674792,6.22942555587704,6.55424497013266,7.19072176723212,6.71038158234097,6.62176529260325,6.72240949883299,6.80124514638318,6.41519489817312,6.63178370235192,5.75246521607454,6.96801443719035,6.63730683193987,6.26099706965423,6.82602425842823,7.18399161259119,6.40934588120341,6.63886308900518,6.1047621187303,7.1818676026231,6.55451218520718,6.65580273056436,6.38900648121555,6.3248991330871,6.68327805844005,5.78982708711893,6.54689338182701,6.03588126239358,6.32320478108433,5.9697904571047,6.70667268890521,6.71154122343737,6.58687205056344,6.36958741697768,6.67517138845015,6.87815758984969,6.40150075438013,6.7575774264178,6.59612792642778,5.82193884172109,6.91200113449472,6.09476481210131,6.38332090306118,6.31109611371496,5.64201965099984,6.24671565079605,6.90727973580401,6.60911877493201,6.18149026260781,6.58093485213272,6.81845755097084,6.74836537737047,6.490587398125,5.87907940489361,5.78182682064924,5.96777313810672,6.31605879664675
"VEGFB",4.58364364020561,4.04993778133838,4.75310480077565,4.64004686180455,4.40382901642262,4.54263401191763,4.52305134771366,5.16983354421284,4.59036403068668,5.04507465797331,4.5743043861801,4.54560702007195,4.74936406608653,4.47806016404614,5.06806646126428,4.6106654559919,4.71326809030315,4.46442294838062,4.85007590466303,5.11044981391679,5.10776316072274,4.60988649257524,4.66061686181778,4.84454463248489,5.02144228492279,5.14499842348485,4.56155330607752,4.45972723996579,4.80653004971844,4.85056829320598,5.29346811774897,4.81103251416306,4.65905311428138,4.59125534036652,4.20951241164849,4.68558105195537,4.74230775249967,4.82927594406814,4.72277563926403,4.65490313723493,4.47438743450776,4.79189036846779,5.24444633690056,4.92235431845286,4.75038343245962,4.61730490634886,4.88772001374038,4.77826232809556,5.27311950006125,4.53232493187183,4.79422533374605,4.77229174583679,4.531457507332,4.64365864867892,5.23468284979968,4.41538657030977,4.62950606650112,4.91440278560277,4.80532637751912,4.66103123863568,4.76766256982378,5.13387872634296,4.70962726683802,4.87703449763392,4.28665766987386,4.58903812033346,5.13160779173633,4.86001647791504,4.77019860474885,4.83803138024781,4.77652086234788,4.99009437533213,5.05537358653276,4.21992250231064,4.10851163489494,5.06827220708196,4.80253092735878,4.82996756218598,4.55435619608647,4.51572886913676,4.81167147569554,4.87025148049379,4.71747007206218,4.48212296753406,4.58558483845363,4.64541480699299,4.72983545605471,4.87265402018483,4.91829438254241,4.92083886459388,4.69383493197026,4.2577406450688,4.40383540675172,3.92736936836484,4.93783364393724,4.05915631397043
"LAMB2",6.08325800932748,5.97314962205413,6.17233103644408,5.68818604954992,5.73834636978166,6.20690249428341,5.87080385596153,7.03831279612818,5.63552671999979,6.48649040377288,5.69512103414198,6.22162405268211,5.81861593921748,5.48545298740208,6.62376027448987,6.25293852017905,4.81017901857303,5.45386289669428,6.12995449963928,6.84035516648262,6.60719809276387,6.11394766585945,6.19618748145071,6.60757936871315,6.29472230986207,6.26806486877497,5.70999701218188,5.45245083565573,6.50373303527972,5.47046423838523,6.61215650955189,6.48138776370297,5.75160048232673,6.48854169631125,6.21446872778953,5.77603443480558,6.26253184727789,6.27106362106049,5.98499365634694,6.5954433225926,6.35079741845293,6.08131624730715,6.96029622481421,6.58746067655837,6.53487523005194,6.1848788282615,6.54291458626481,6.46382367525005,6.82515735438857,5.77237729791088,6.33002994208856,6.05450230841614,6.16889214251019,6.32196785293357,6.55502441395071,5.47861072212459,6.31071763299631,6.48639037123242,6.89226898027693,6.40629165154728,6.22455048092093,6.22574141521459,5.77122014739965,6.81367985666114,5.10874149871471,5.8316004105514,5.82618710158279,6.0394695221452,5.6756888546776,6.50043809585363,5.86680874871143,5.6554451287691,6.70759548913373,5.52314381508594,5.7459653291209,6.57448010378155,6.69628616199936,6.12612995691859,5.47710147895899,6.29531865843189,5.59720450621681,6.48023456716762,6.49121428943424,4.83176249939568,6.03899025825791,6.54258583808854,6.00714591900717,5.9868118985346,6.30975837565488,6.85974968828294,6.29407089171351,5.85263671510134,5.10634908799721,6.14314566383319,6.48315256893369,6.19669433981924
"BMP5",3.48258538148607,2.89083836947159,4.00388145171259,3.59368990175772,3.77016886115744,4.11625167277293,3.62038290407821,5.12581562908197,3.58511221781251,4.52955607597415,4.10170794626281,4.48933523526023,2.7596938446562,3.89551103473587,5.01714674375327,3.98984979274926,3.54643149608537,3.36804463165652,3.64402518680104,3.73079320021159,3.74631251042439,4.10304666663473,3.68991962386222,3.46419631615051,4.78072973780147,3.74013156282396,2.92789912937696,4.31445318727961,3.81825575374826,3.88024796223655,3.61080198993386,3.85919182337078,4.30071049896776,3.91529127583848,3.7460150335189,3.13144312325971,4.59855513565902,3.66988325273885,4.08077288590833,4.18248208588051,3.8866355066895,3.69640746692322,4.70419545075808,4.0881244906246,3.89947304588561,4.57218556053237,3.86738736915998,4.73272932841839,3.41910834770672,3.59702862181277,3.21601018816924,4.49943573936917,4.16163321792181,3.53238651678531,4.14370233043637,3.53066982984561,4.28750080064207,4.30262235630068,3.81663271976277,4.06433347383002,3.93766124316606,3.98341951691038,3.73522954004235,4.0701203307399,3.7325538191114,3.90622288806544,3.55190372497764,3.89012829050032,3.65585783083052,4.12396713004056,3.70713916471438,4.09097627907899,3.6744904907282,3.72879440415833,3.82451572571639,3.82261184697116,3.73936349165632,4.13228169771965,3.34753369805738,4.15363711382417,3.67511666925423,4.21822490623115,4.48216668798214,3.38689647725726,5.09485585394648,4.12380001842204,3.87596651457481,4.01719897581937,3.92375456384117,4.15026722984812,3.91167549672903,4.07109552583919,3.40986007854335,3.42229514875016,3.64129648485269,4.02087485912723
"RHOC",5.91879228183172,5.48024582995729,5.84316343806234,5.75022825282348,5.70779116366438,5.65644165371666,5.94039389067393,6.28874728075625,5.809073026664,6.11848673174229,5.87750914278331,6.03239075003132,5.87307211395776,5.75206051642499,6.15389772470404,5.80438631069122,5.71016633658857,5.79912369259085,5.88032256479704,5.97774397477966,6.31137494356446,5.85911024333372,6.13594902966077,6.32952607632969,6.01857465742881,6.23143338499036,5.68328938968112,5.66158596445048,6.18856181092878,5.57415901482865,5.92866702775575,6.29514915140133,6.05806703378349,5.69092451329545,5.57428462778207,5.76855085215406,6.27135338892712,5.95968617365525,5.76387441613232,5.98027877214414,6.169472623681,6.06903107039832,6.52948284700532,6.35661433458568,6.13002709581461,6.01339087909448,6.0321087113808,5.96733157450863,6.41089493769068,5.66705744996875,6.08362998053733,5.99172103801565,5.74809876300591,5.82647860020082,5.94143914385789,5.75643998342496,6.03769875862869,5.98763858409494,6.27268374640232,6.03526292515412,5.79790663900411,6.00269556242028,5.79473265222741,6.24583684892488,5.67631821361374,6.03805192437269,5.72921848016018,6.01491767234745,5.77649564854487,5.93763753035689,5.82524319785371,5.92581306501508,6.46655474048685,6.51244762991549,5.59035561478284,6.04410540572909,6.1763654004198,5.94444836534344,5.53580903642541,6.27657910380452,5.7386050535678,6.22863342385204,6.2341496028847,5.70713024708265,6.04472931993835,6.16795643211031,6.0471182400575,6.18093068300738,6.35650639877368,5.88820625323538,6.11620324971968,5.77342675088667,5.44405741157096,5.73188153416908,5.90043738921509,5.87942293715533
"FGFRL1",4.30644824266476,4.24802896566401,4.25332275440691,4.15286322435981,4.29171375634749,4.29856267568541,4.28669256462678,4.98654126222915,4.43436347918444,4.84510459127174,4.33024868726264,4.85332716994806,4.30489227872297,3.81594628395207,4.45885310000295,4.34139659628736,4.88086843632444,4.48137833081414,4.39857409261135,4.7358951300909,4.78425363776849,4.66513457332426,4.33293395351515,4.28147585890731,4.43323025034053,4.30061368804672,4.32404635164194,4.53841583155614,4.64685497530036,4.00095399741591,4.42984018260673,5.12171245582771,4.34595875364107,4.65114291957069,4.6035222569836,4.69591270163573,4.76752163533848,4.44148313536721,4.3902482148336,4.68537807676196,4.10189664896409,4.46558944857637,4.89519666383712,4.91793381063067,4.81501138912641,4.53394225021582,4.44402524038734,4.63900994895486,4.73888290077842,4.14647006739663,4.44443499352202,4.91742438588459,4.42297573973134,4.61217045232459,4.30584107428527,4.28361467305527,4.70002071656134,4.88727770084056,4.83132863217583,4.57840499609256,4.59820424083201,4.68681791677618,4.19715969039106,4.73461289842315,4.70219062709369,4.59692734485885,4.50853644770618,4.3566727052259,4.34838890137623,4.6449024284395,4.46424421811372,4.96766961469613,4.61325907500312,4.01193248652907,4.23037818431911,4.39038520591657,4.78571053740034,4.67490614424842,4.2291657618955,4.67417572024465,4.3179633589686,4.37216763201621,4.56163239800471,3.76908090422307,4.36500088878524,4.73689561109332,4.60487369148533,4.66051434900324,4.76188518031734,4.95978143181781,4.75510112093862,4.03771727406857,3.67672263738505,3.72386073296233,4.3135781360074,4.27734386805352
"HIGD1B",5.961572726444,4.02012375504081,5.99231124444178,5.52430067238343,4.38752133180047,5.35661421571809,4.52712454847314,6.01305281706382,5.45831547974811,5.75278493106049,5.0596899997085,6.1957232072105,5.06868014409047,5.0702281674707,5.602488411484,5.30951823313086,5.70529684315269,5.49717692510506,5.64973005339403,5.74185888403641,5.99358006946748,6.12713011699322,4.86814140957535,6.18308170213871,5.42250342635564,6.44862526939995,5.33890420043431,5.51687247254042,5.96326127474097,5.41993348116709,7.0330392258391,6.00705541764644,4.28858370699695,6.32259763282612,5.60608069627249,5.63356174390249,5.79730934784915,6.52229987430877,5.94633389563282,5.60371558273647,5.79316372439025,5.08467672163493,6.36904000627002,6.53571138235907,6.35675662998192,5.5526178179462,6.84256822277869,5.95077603029224,6.3829044580562,5.4221526015705,5.22977773599282,5.3394565634762,5.11794253393833,6.07229790886371,6.21341208699811,5.20766179428197,5.23953076776404,6.60470412276082,5.73794780827949,5.72508544474636,6.36707386629683,6.5088323149265,5.45856186079038,6.47175173763072,4.20736559820025,5.67251339767112,4.94569371956916,6.0486159390973,5.36766797663892,5.63313964001449,5.77673681195331,5.64206678491902,7.32239761236762,4.537455395849,5.31174483368721,6.31040647861079,6.57300191864411,6.09892807341201,4.93158915715026,6.49716061065785,5.17427186757623,5.94245053639144,5.71535189938774,3.96465757809457,5.53008420144367,6.236843914556,5.95440750323137,5.52006621170748,5.47249826135791,5.86534421681254,6.23092652151865,5.75667878898931,5.47743119573595,5.52660511905537,5.39160682348957,6.01168285732403
