repeat_id,alpha,lambda_1se,oof_auc,n_genes
1,0.4,0.0164535976685322,0.948613108691186,17
1,0.55,0.014413393921266,0.948613108691186,17
1,0.7,0.0124289644561928,0.948695294842819,16
1,0.85,0.0112335778857884,0.94818163139511,13
1,1,0.0104795121824644,0.946620094514074,11
2,0.4,0.0238713530073002,0.93852475857818,17
2,0.55,0.0173609840053093,0.939552085473598,17
2,0.7,0.0136407731470287,0.939675364701048,16
2,0.85,0.0112335778857884,0.939963016231765,13
2,1,0.00870027511933499,0.94115471543045,12
3,0.4,0.0217506877983375,0.945983151838915,17
3,0.55,0.0209113666967711,0.943907951510171,14
3,0.7,0.0197904262426439,0.94216149578796,9
3,0.85,0.0178870327751978,0.941832751181426,8
3,1,0.0200987639520703,0.938134374357921,6
4,0.4,0.00941535351783689,0.950791041709472,23
4,0.55,0.00905203144915126,0.95044175056503,20
4,0.7,0.00940205581058985,0.94931169098007,18
4,0.85,0.00849778970782755,0.949291144442162,17
4,1,0.00870027511933499,0.948325457160468,12
5,0.4,0.0113408266450225,0.952106020135607,20
5,0.55,0.0109032039270365,0.951263612081364,18
5,0.7,0.0103187446452192,0.950708855557838,17
5,0.85,0.0123288378617228,0.949003492911444,11
5,1,0.0115012516832241,0.947873433326484,10
6,0.4,0.0287531292080603,0.937456338606945,16
6,0.55,0.0251878152179104,0.936079720567084,12
6,0.7,0.0180322993199477,0.939141154715431,11
6,0.85,0.0162979980821773,0.937785083213478,9
6,1,0.0138532983698507,0.937620710910212,7
7,0.4,0.0164535976685322,0.949085679063078,17
7,0.55,0.0158186820351545,0.948859667146086,17
7,0.7,0.0136407731470287,0.949578795972879,16
7,0.85,0.0123288378617228,0.949845900965687,11
7,1,0.0095485412029201,0.951160879391822,11
8,0.4,0.0164535976685322,0.946188617217999,17
8,0.55,0.014413393921266,0.945469488391206,17
8,0.7,0.0136407731470287,0.944524347647421,16
8,0.85,0.0112335778857884,0.945366755701664,13
8,1,0.0095485412029201,0.945387302239573,11
9,0.4,0.0103333388625067,0.956400246558455,22
9,0.55,0.00905203144915126,0.956194781179371,20
9,0.7,0.00780575191050901,0.956523525785905,20
9,0.85,0.00642826627924271,0.957037189233614,20
9,1,0.00599676215987009,0.957016642695706,20
10,0.4,0.0113408266450225,0.94818163139511,20
10,0.55,0.0109032039270365,0.947092664885967,18
10,0.7,0.0113248095095661,0.945407848777481,17
10,0.85,0.00774286949107399,0.946250256831724,18
10,1,0.00658143906741289,0.945900965687282,17
11,0.4,0.00857891946111393,0.953297719334292,24
11,0.55,0.00751515553636851,0.952640230121225,21
11,0.7,0.00711231042433313,0.951756728991165,20
11,0.85,0.00642826627924271,0.951222519005548,20
11,1,0.00599676215987009,0.950277378261763,20
12,0.4,0.0103333388625067,0.9525785905075,22
12,0.55,0.00824787392365275,0.953051160879392,20
12,0.7,0.00590476506428955,0.954283953153894,21
12,0.85,0.00533685959765766,0.954283953153894,21
12,1,0.00453633065800901,0.954694883912061,21
13,0.4,0.0238713530073002,0.942839531538936,17
13,0.55,0.0209113666967711,0.941956030408876,14
13,0.7,0.0180322993199477,0.941442366961167,11
13,0.85,0.0162979980821773,0.940990343127183,9
13,1,0.0138532983698507,0.94203821656051,7
14,0.4,0.0238713530073002,0.943846311896445,17
14,0.55,0.0209113666967711,0.943024450380111,14
14,0.7,0.016430359547463,0.944051777275529,13
14,0.85,0.0148501288517216,0.943147729607561,10
14,1,0.0115012516832241,0.945428395315389,10
15,0.4,0.0164535976685322,0.949784261351962,17
15,0.55,0.014413393921266,0.949291144442162,17
15,0.7,0.0113248095095661,0.95031847133758,17
15,0.85,0.0102356177874529,0.95031847133758,15
15,1,0.0095485412029201,0.949393877131703,11
16,0.4,0.0149919053996752,0.94943497020752,18
16,0.55,0.0158186820351545,0.947524142182042,17
16,0.7,0.0149707316892349,0.946517361824533,15
16,0.85,0.0123288378617228,0.94729813026505,11
16,1,0.0138532983698507,0.943065543455928,7
17,0.4,0.0238713530073002,0.941914937333059,17
17,0.55,0.0209113666967711,0.940928703513458,14
17,0.7,0.0180322993199477,0.940620505444832,11
17,0.85,0.0162979980821773,0.940332853914115,9
17,1,0.0166863469307464,0.937497431682761,7
18,0.4,0.0198184166417407,0.943353194986645,17
18,0.55,0.0158186820351545,0.943805218820629,17
18,0.7,0.0124289644561928,0.944709266488597,16
18,0.85,0.0112335778857884,0.944709266488597,13
18,1,0.0104795121824644,0.944236696116704,11
19,0.4,0.0238713530073002,0.941216355044175,17
19,0.55,0.0209113666967711,0.939819190466406,14
19,0.7,0.0180322993199477,0.939305527018697,11
19,0.85,0.0148501288517216,0.940106841997124,10
19,1,0.0138532983698507,0.937908362440929,7
20,0.4,0.0164535976685322,0.949085679063078,17
20,0.55,0.0131329477302789,0.949537702897062,17
20,0.7,0.0124289644561928,0.948284364084652,16
20,0.85,0.0112335778857884,0.947955619478118,13
20,1,0.0104795121824644,0.946866652968975,11
21,0.4,0.0198184166417407,0.94329155537292,17
21,0.55,0.0173609840053093,0.942120402712143,17
21,0.7,0.0136407731470287,0.942634066159852,16
21,0.85,0.0112335778857884,0.942798438463119,13
21,1,0.00870027511933499,0.943723032668995,12
22,0.4,0.012446543242583,0.945942058763098,20
22,0.55,0.0109032039270365,0.945654407232381,18
22,0.7,0.00940205581058985,0.94592151222519,18
22,0.85,0.00849778970782755,0.945777686459832,17
22,1,0.00792736665669629,0.945736593384015,13
23,0.4,0.0149919053996752,0.948962399835628,18
23,0.55,0.0119662528498416,0.949414423669612,18
23,0.7,0.0085668030855287,0.950914320936922,19
23,0.85,0.00774286949107399,0.950339017875488,18
23,1,0.00792736665669629,0.948921306759811,13
24,0.4,0.0103333388625067,0.953811382782001,22
24,0.55,0.00824787392365275,0.954160673926443,20
24,0.7,0.0064804723685843,0.955003081980686,20
24,0.85,0.00585719682003905,0.955126361208136,20
24,1,0.0054640263373563,0.954653790836244,20
25,0.4,0.0103333388625067,0.955003081980686,22
25,0.55,0.00824787392365275,0.95520854735977,20
25,0.7,0.00780575191050901,0.954016848161085,20
25,0.85,0.00705501430572951,0.953605917402918,20
25,1,0.00599676215987009,0.953564824327101,20
26,0.4,0.00712236965220608,0.954119580850627,25
26,0.55,0.00623921415353741,0.953914115471543,24
