Feature,p_value,p_adj,effect_size
AK5,1.17102215165362e-25,1.20879705977148e-25,0.741578312857546
ATP1B1,1.13334670868962e-38,1.90879445674042e-38,1.13248946123456
ATP2B1,1.23643800051387e-29,1.41307200058728e-29,1.07582507453931
ATP6AP2,5.4421218468798e-38,8.70739495500767e-38,1.46266288690346
BEX2,1.44749720094814e-45,9.26398208606807e-45,1.36718678433479
C1QL3,6.63743745497598e-32,8.49591994236926e-32,1.28071360261323
C1orf115,6.0571261884513e-45,1.93828038030442e-44,1.04405291807229
CBLN4,8.23573217906808e-48,8.78478099100595e-47,1.77019204286607
CCNA1,7.41069691197817e-40,1.48213938239563e-39,1.15171521072832
CDC42SE2,6.064652016454e-28,6.46896215088427e-28,1.30355590064647
CDKN2D,1.13826941735109e-52,3.64246213552348e-51,1.42239198820539
CPNE4,4.9989685752688e-39,9.40982320050598e-39,0.988619094799009
CREG2,1.62350785169367e-41,3.99632701955365e-41,1.24783518785143
EFHD1,8.3704350656385e-29,9.23634214139421e-29,1.09878231272043
FZD7,2.52470138816652e-42,7.34458585648442e-42,1.16395087663241
KCNS2,1.08439512747187e-33,1.57730200359544e-33,1.11010786368167
LMO4,5.73074163308997e-37,8.73255867899425e-37,1.12882846514993
LRRC8B,5.98687494217833e-32,7.98249992290444e-32,1.15352091602959
MCHR2,2.42509510597584e-45,1.29338405652045e-44,1.45977732154586
NME5,6.10774186734903e-41,1.39605528396549e-40,1.50975823224739
PCSK1,1.65054677526672e-46,1.32043742021337e-45,1.32965714628818
PNMA2,1.41102896787624e-31,1.67233062859407e-31,0.721312485875812
QPCT,1.14916545405169e-31,1.41435748190977e-31,1.4825886299484
R3HDM1,6.0571261884513e-45,1.93828038030442e-44,1.22964484709177
RAB3C,1.37309084949003e-41,3.66157559864008e-41,1.31186058932374
REEP1,5.99186495305095e-39,1.06522043609795e-38,1.08416441786723
SGIP1,3.586662778466e-45,1.63961727015588e-44,1.41883428546722
SLC17A6,2.14139186007077e-19,2.14139186007077e-19,0.813126556119741
SLC39A10,4.14210762766825e-45,1.6568430510673e-44,1.3617585495049
TMEM130,2.95745160612892e-40,6.30923009307504e-40,0.837514739696007
TUBB3,7.29381705471664e-33,1.01479193804753e-32,1.0261155284229
WSB2,1.23210417485003e-50,1.97136667976005e-49,1.60054515601863
